cancer_type,gene,mutated_samples,total_samples,mutation_frequency
LUAD,AKR1E2,4,50,8.0
LUAD,ALOXE3,4,50,8.0
LUAD,ALPK1,4,50,8.0
LUAD,ANK3,4,50,8.0
LUAD,ANKS1B,4,50,8.0
LUAD,ANO3,4,50,8.0
LUAD,AP002512.3,4,50,8.0
LUAD,ARHGAP25,4,50,8.0
LUAD,ATM,4,50,8.0
LUAD,ATP2B3,4,50,8.0
LUAD,ATP8B4,4,50,8.0
LUAD,B4GALNT2,4,50,8.0
LUAD,BCAS3,4,50,8.0
LUAD,BCORL1,4,50,8.0
LUAD,BDP1,4,50,8.0
LUAD,BRWD3,4,50,8.0
LUAD,BSN,4,50,8.0
LUAD,C8A,4,50,8.0
LUAD,CAPN2,4,50,8.0
LUAD,CASP2,4,50,8.0
LUAD,CATSPER2,4,50,8.0
LUAD,CCDC141,4,50,8.0
LUAD,CCKAR,4,50,8.0
LUAD,CCT8L2,4,50,8.0
LUAD,CD1B,4,50,8.0
LUAD,CD86,4,50,8.0
LUAD,CDH11,4,50,8.0
LUAD,CDH20,4,50,8.0
LUAD,CEMIP2,4,50,8.0
LUAD,CENPE,4,50,8.0
LUAD,CENPF,4,50,8.0
LUAD,CEP164,4,50,8.0
LUAD,CHD5,4,50,8.0
LUAD,CHRM3,4,50,8.0
LUAD,CHRND,4,50,8.0
LUAD,CLDN8,4,50,8.0
LUAD,CLSPN,4,50,8.0
LUAD,CNTNAP4,4,50,8.0
LUAD,COL14A1,4,50,8.0
LUAD,COL17A1,4,50,8.0
LUAD,COL24A1,4,50,8.0
LUAD,COL4A5,4,50,8.0
LUAD,COL4A6,4,50,8.0
LUAD,CPB1,4,50,8.0
LUAD,CPT1C,4,50,8.0
LUAD,CPXM2,4,50,8.0
LUAD,CUBN,4,50,8.0
LUAD,CYP11B1,4,50,8.0
LUAD,DACT1,4,50,8.0
LUAD,DCAF5,4,50,8.0
LUAD,DCTN1,4,50,8.0
LUAD,DDR2,4,50,8.0
LUAD,DGKI,4,50,8.0
LUAD,DIP2C,4,50,8.0
LUAD,DLC1,4,50,8.0
LUAD,DLGAP2,4,50,8.0
LUAD,DLGAP3,4,50,8.0
LUAD,DLK1,4,50,8.0
LUAD,DMTF1,4,50,8.0
LUAD,DMXL1,4,50,8.0
LUAD,DNAH2,4,50,8.0
LUAD,DOCK7,4,50,8.0
LUAD,DSCAM,4,50,8.0
LUAD,DUSP9,4,50,8.0
LUAD,DYNC1H1,4,50,8.0
LUAD,EGFR,4,50,8.0
LUAD,ELSPBP1,4,50,8.0
LUAD,EML5,4,50,8.0
LUAD,EPHA6,4,50,8.0
LUAD,EPHB1,4,50,8.0
LUAD,ESRRB,4,50,8.0
LUAD,EVI2B,4,50,8.0
LUAD,F5,4,50,8.0
LUAD,FAM114A2,4,50,8.0
LUAD,FAM135A,4,50,8.0
LUAD,FAM47C,4,50,8.0
LUAD,FASTKD5,4,50,8.0
LUAD,FAT1,4,50,8.0
LUAD,FBXL7,4,50,8.0
LUAD,FOLH1,4,50,8.0
LUAD,FRMPD1,4,50,8.0
LUAD,FRMPD4,4,50,8.0
LUAD,FSHR,4,50,8.0
LUAD,GABRA1,4,50,8.0
LUAD,GABRA5,4,50,8.0
LUAD,GABRA6,4,50,8.0
LUAD,GABRB3,4,50,8.0
LUAD,GABRG1,4,50,8.0
LUAD,GALNTL6,4,50,8.0
LUAD,GPM6A,4,50,8.0
LUAD,GPR158,4,50,8.0
LUAD,GPR50,4,50,8.0
LUAD,GPRIN1,4,50,8.0
LUAD,HCFC1,4,50,8.0
LUAD,HELQ,4,50,8.0
LUAD,HHIPL2,4,50,8.0
LUAD,HNRNPA2B1,4,50,8.0
LUAD,HS3ST2,4,50,8.0
LUAD,INTS6,4,50,8.0
LUAD,ITGAD,4,50,8.0
LUAD,ITIH5,4,50,8.0
LUAD,ITPR1,4,50,8.0
LUAD,KCNH7,4,50,8.0
LUAD,KCNQ2,4,50,8.0
LUAD,KCNQ5,4,50,8.0
LUAD,KIAA1109,4,50,8.0
LUAD,KIF1A,4,50,8.0
LUAD,KIF4A,4,50,8.0
LUAD,KIF4B,4,50,8.0
LUAD,KMT2B,4,50,8.0
